[arch] mlp hidden [512, 512, 256, 256] in=201, 0.912M params (0.565M deployable)
exp011 outcomes6 [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 91/1720 loss=0.906134  best=-inf wall=0.421h
  ep2 shard 92/1720 loss=0.866754  best=-inf wall=0.427h
  ep2 shard 93/1720 loss=0.838448  best=-inf wall=0.428h
  ep2 shard 94/1720 loss=0.860948  best=-inf wall=0.431h
  ep2 shard 95/1720 loss=0.863437  best=-inf wall=0.436h
  ep2 shard 96/1720 loss=0.866537  best=-inf wall=0.441h
  ep2 shard 97/1720 loss=0.839692  best=-inf wall=0.447h
  ep2 shard 98/1720 loss=0.837673  best=-inf wall=0.452h
  ep2 shard 99/1720 loss=0.82858  best=-inf wall=0.457h
  ep2 shard 100/1720 loss=0.832486  best=-inf wall=0.46h
  ep2 shard 101/1720 loss=0.849384  best=-inf wall=0.464h
  ep2 shard 102/1720 loss=0.864419  best=-inf wall=0.469h
  ep2 shard 103/1720 loss=0.825559  best=-inf wall=0.475h
  ep2 shard 104/1720 loss=0.869452  best=-inf wall=0.479h
  ep2 shard 105/1720 loss=0.810505  best=-inf wall=0.484h
  ep2 shard 106/1720 loss=0.843263  best=-inf wall=0.489h
  ep2 shard 107/1720 loss=0.815138  best=-inf wall=0.494h
  ep2 shard 108/1720 loss=0.876739  best=-inf wall=0.497h
  ep2 shard 109/1720 loss=0.866454  best=-inf wall=0.502h
  ep2 shard 110/1720 loss=0.847193  best=-inf wall=0.507h
  ep2 shard 111/1720 loss=0.819452  best=-inf wall=0.513h
  ep2 shard 112/1720 loss=0.87022  best=-inf wall=0.518h
  ep2 shard 113/1720 loss=0.856088  best=-inf wall=0.523h
  ep2 shard 114/1720 loss=0.804537  best=-inf wall=0.527h
  ep2 shard 115/1720 loss=0.865707  best=-inf wall=0.533h
  ep2 shard 116/1720 loss=0.904262  best=-inf wall=0.538h
  ep2 shard 117/1720 loss=0.857532  best=-inf wall=0.543h
  ep2 shard 118/1720 loss=0.879215  best=-inf wall=0.547h
  ep2 shard 119/1720 loss=0.884709  best=-inf wall=0.551h
  ep2 shard 120/1720 loss=0.855915  best=-inf wall=0.556h
  ep2 shard 121/1720 loss=0.869766  best=-inf wall=0.561h
  ep2 shard 122/1720 loss=0.826141  best=-inf wall=0.564h
  ep2 shard 123/1720 loss=0.820112  best=-inf wall=0.569h
  ep2 shard 124/1720 loss=0.856365  best=-inf wall=0.571h
  ep2 shard 125/1720 loss=0.854163  best=-inf wall=0.573h
  ep2 shard 126/1720 loss=0.854506  best=-inf wall=0.578h
  ep2 shard 127/1720 loss=0.861816  best=-inf wall=0.583h
  ep2 shard 128/1720 loss=0.881277  best=-inf wall=0.588h
  ep2 shard 129/1720 loss=0.817917  best=-inf wall=0.593h
  ep2 shard 130/1720 loss=0.901735  best=-inf wall=0.598h
  ep2 shard 131/1720 loss=0.848866  best=-inf wall=0.603h
  ep2 shard 132/1720 loss=0.840676  best=-inf wall=0.608h
  ep2 shard 133/1720 loss=0.904852  best=-inf wall=0.613h
  ep2 shard 134/1720 loss=0.880754  best=-inf wall=0.618h
  ep2 shard 135/1720 loss=0.839026  best=-inf wall=0.623h
  ep2 shard 136/1720 loss=0.810771  best=-inf wall=0.628h
  ep2 shard 137/1720 loss=0.845909  best=-inf wall=0.631h
  ep2 shard 138/1720 loss=0.884995  best=-inf wall=0.635h
  ep2 shard 139/1720 loss=0.916382  best=-inf wall=0.64h
  ep2 shard 140/1720 loss=0.855742  best=-inf wall=0.645h
  ep2 shard 141/1720 loss=0.811356  best=-inf wall=0.65h
  ep2 shard 142/1720 loss=0.889235  best=-inf wall=0.655h
  ep2 shard 143/1720 loss=0.826399  best=-inf wall=0.658h
  ep2 shard 144/1720 loss=0.881685  best=-inf wall=0.663h
  ep2 shard 145/1720 loss=0.867808  best=-inf wall=0.668h
  ep2 shard 146/1720 loss=0.844492  best=-inf wall=0.67h
  ep2 shard 147/1720 loss=0.875762  best=-inf wall=0.675h
  ep2 shard 148/1720 loss=0.861112  best=-inf wall=0.68h
  ep2 shard 149/1720 loss=0.822076  best=-inf wall=0.685h
  ep2 shard 150/1720 loss=0.898512  best=-inf wall=0.689h
  ep2 shard 151/1720 loss=0.884673  best=-inf wall=0.694h
  ep2 shard 152/1720 loss=0.862638  best=-inf wall=0.699h
  ep2 shard 153/1720 loss=0.849753  best=-inf wall=0.703h
  ep2 shard 154/1720 loss=0.928191  best=-inf wall=0.708h
  ep2 shard 155/1720 loss=0.85382  best=-inf wall=0.711h
  ep2 shard 156/1720 loss=0.877419  best=-inf wall=0.715h
  ep2 shard 157/1720 loss=0.804959  best=-inf wall=0.72h
  ep2 shard 158/1720 loss=0.851315  best=-inf wall=0.725h
