[arch] mlp hidden [512, 512, 256, 256] in=210, 0.917M params (0.569M deployable)
exp011 outcomes6 [cpu]: 86 shards x 8 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 93/688 loss=0.911545  best=-inf wall=0.424h
  ep2 shard 94/688 loss=0.840355  best=-inf wall=0.427h
  ep2 shard 95/688 loss=0.90468  best=-inf wall=0.433h
  ep2 shard 96/688 loss=0.810167  best=-inf wall=0.437h
  ep2 shard 97/688 loss=0.827473  best=-inf wall=0.442h
  ep2 shard 98/688 loss=0.889149  best=-inf wall=0.448h
  ep2 shard 99/688 loss=0.862751  best=-inf wall=0.453h
  ep2 shard 100/688 loss=0.826036  best=-inf wall=0.456h
  ep2 shard 101/688 loss=0.86945  best=-inf wall=0.46h
  ep2 shard 102/688 loss=0.842126  best=-inf wall=0.465h
  ep2 shard 103/688 loss=0.812443  best=-inf wall=0.471h
  ep2 shard 104/688 loss=0.86816  best=-inf wall=0.484h
  ep2 shard 105/688 loss=0.832565  best=-inf wall=0.491h
  ep2 shard 106/688 loss=0.876391  best=-inf wall=0.498h
  ep2 shard 107/688 loss=0.901886  best=-inf wall=0.506h
  ep2 shard 108/688 loss=0.845655  best=-inf wall=0.512h
  ep2 shard 109/688 loss=0.816866  best=-inf wall=0.518h
  ep2 shard 110/688 loss=0.854505  best=-inf wall=0.524h
  ep2 shard 111/688 loss=0.841131  best=-inf wall=0.534h
  ep2 shard 112/688 loss=0.872498  best=-inf wall=0.543h
  ep2 shard 113/688 loss=0.851997  best=-inf wall=0.549h
  ep2 shard 114/688 loss=0.837232  best=-inf wall=0.556h
  ep2 shard 115/688 loss=0.899635  best=-inf wall=0.562h
  ep2 shard 116/688 loss=0.862512  best=-inf wall=0.57h
  ep2 shard 117/688 loss=0.836307  best=-inf wall=0.58h
  ep2 shard 118/688 loss=0.852628  best=-inf wall=0.587h
  ep2 shard 119/688 loss=0.876277  best=-inf wall=0.594h
  ep2 shard 120/688 loss=0.889875  best=-inf wall=0.6h
  ep2 shard 121/688 loss=0.847944  best=-inf wall=0.608h
  ep2 shard 122/688 loss=0.879909  best=-inf wall=0.616h
