[arch] mlp hidden [512, 512, 256, 256] in=201, 0.911M params (0.563M deployable)
exp011 scalar [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 90/1720 loss=0.00014  best=-inf wall=0.407h
  ep2 shard 91/1720 loss=0.00011  best=-inf wall=0.413h
  ep2 shard 92/1720 loss=9.8e-05  best=-inf wall=0.418h
  ep2 shard 93/1720 loss=0.000118  best=-inf wall=0.419h
  ep2 shard 94/1720 loss=0.0001  best=-inf wall=0.422h
  ep2 shard 95/1720 loss=8.9e-05  best=-inf wall=0.428h
  ep2 shard 96/1720 loss=8.7e-05  best=-inf wall=0.433h
  ep2 shard 97/1720 loss=8.2e-05  best=-inf wall=0.438h
  ep2 shard 98/1720 loss=9.5e-05  best=-inf wall=0.444h
  ep2 shard 99/1720 loss=9.3e-05  best=-inf wall=0.449h
  ep2 shard 100/1720 loss=0.000115  best=-inf wall=0.452h
  ep2 shard 101/1720 loss=8e-05  best=-inf wall=0.456h
  ep2 shard 102/1720 loss=9.9e-05  best=-inf wall=0.461h
  ep2 shard 103/1720 loss=8.8e-05  best=-inf wall=0.467h
  ep2 shard 104/1720 loss=8.9e-05  best=-inf wall=0.472h
  ep2 shard 105/1720 loss=8.5e-05  best=-inf wall=0.477h
  ep2 shard 106/1720 loss=0.00016  best=-inf wall=0.482h
  ep2 shard 107/1720 loss=7.4e-05  best=-inf wall=0.487h
  ep2 shard 108/1720 loss=0.000101  best=-inf wall=0.49h
  ep2 shard 109/1720 loss=9.4e-05  best=-inf wall=0.495h
  ep2 shard 110/1720 loss=9.7e-05  best=-inf wall=0.5h
  ep2 shard 111/1720 loss=0.000105  best=-inf wall=0.506h
  ep2 shard 112/1720 loss=8.6e-05  best=-inf wall=0.511h
  ep2 shard 113/1720 loss=0.000131  best=-inf wall=0.516h
  ep2 shard 114/1720 loss=0.000135  best=-inf wall=0.521h
  ep2 shard 115/1720 loss=0.000126  best=-inf wall=0.526h
  ep2 shard 116/1720 loss=8.6e-05  best=-inf wall=0.531h
  ep2 shard 117/1720 loss=9.8e-05  best=-inf wall=0.536h
  ep2 shard 118/1720 loss=9.9e-05  best=-inf wall=0.541h
  ep2 shard 119/1720 loss=8.6e-05  best=-inf wall=0.545h
  ep2 shard 120/1720 loss=0.000118  best=-inf wall=0.551h
  ep2 shard 121/1720 loss=9.2e-05  best=-inf wall=0.555h
  ep2 shard 122/1720 loss=0.000155  best=-inf wall=0.559h
  ep2 shard 123/1720 loss=8.2e-05  best=-inf wall=0.564h
  ep2 shard 124/1720 loss=0.000101  best=-inf wall=0.566h
  ep2 shard 125/1720 loss=8.9e-05  best=-inf wall=0.568h
  ep2 shard 126/1720 loss=0.000114  best=-inf wall=0.574h
  ep2 shard 127/1720 loss=9.4e-05  best=-inf wall=0.579h
  ep2 shard 128/1720 loss=8.3e-05  best=-inf wall=0.584h
  ep2 shard 129/1720 loss=7.4e-05  best=-inf wall=0.589h
  ep2 shard 130/1720 loss=9.9e-05  best=-inf wall=0.594h
  ep2 shard 131/1720 loss=0.000114  best=-inf wall=0.599h
  ep2 shard 132/1720 loss=7.8e-05  best=-inf wall=0.604h
  ep2 shard 133/1720 loss=0.000121  best=-inf wall=0.609h
  ep2 shard 134/1720 loss=0.000117  best=-inf wall=0.615h
  ep2 shard 135/1720 loss=8.4e-05  best=-inf wall=0.62h
  ep2 shard 136/1720 loss=8.8e-05  best=-inf wall=0.625h
  ep2 shard 137/1720 loss=8.8e-05  best=-inf wall=0.628h
  ep2 shard 138/1720 loss=7.6e-05  best=-inf wall=0.632h
  ep2 shard 139/1720 loss=0.000136  best=-inf wall=0.637h
  ep2 shard 140/1720 loss=0.000113  best=-inf wall=0.642h
  ep2 shard 141/1720 loss=0.000112  best=-inf wall=0.647h
  ep2 shard 142/1720 loss=8.8e-05  best=-inf wall=0.652h
  ep2 shard 143/1720 loss=9.9e-05  best=-inf wall=0.655h
  ep2 shard 144/1720 loss=0.000104  best=-inf wall=0.661h
  ep2 shard 145/1720 loss=9.3e-05  best=-inf wall=0.666h
  ep2 shard 146/1720 loss=0.000107  best=-inf wall=0.668h
  ep2 shard 147/1720 loss=0.0001  best=-inf wall=0.674h
  ep2 shard 148/1720 loss=9.4e-05  best=-inf wall=0.679h
  ep2 shard 149/1720 loss=9.5e-05  best=-inf wall=0.684h
  ep2 shard 150/1720 loss=0.000102  best=-inf wall=0.688h
  ep2 shard 151/1720 loss=8.6e-05  best=-inf wall=0.693h
  ep2 shard 152/1720 loss=8.5e-05  best=-inf wall=0.698h
  ep2 shard 153/1720 loss=9.9e-05  best=-inf wall=0.702h
  ep2 shard 154/1720 loss=6.9e-05  best=-inf wall=0.707h
  ep2 shard 155/1720 loss=7e-05  best=-inf wall=0.71h
  ep2 shard 156/1720 loss=8.8e-05  best=-inf wall=0.714h
  ep2 shard 157/1720 loss=7.7e-05  best=-inf wall=0.719h
  ep2 shard 158/1720 loss=7.4e-05  best=-inf wall=0.724h
  ep2 shard 159/1720 loss=8.5e-05  best=-inf wall=0.729h
  ep2 shard 160/1720 loss=7.6e-05  best=-inf wall=0.734h
  ep2 shard 161/1720 loss=9.6e-05  best=-inf wall=0.739h
  ep2 shard 162/1720 loss=7.6e-05  best=-inf wall=0.743h
  ep2 shard 163/1720 loss=0.000103  best=-inf wall=0.746h
  ep2 shard 164/1720 loss=7.6e-05  best=-inf wall=0.752h
