[arch] mlp hidden [512, 512], 1.279M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep1 shard 1/576 loss=0.864758  best=-inf wall=0.004h
  ep1 shard 2/576 loss=0.852058  best=-inf wall=0.008h
  ep1 shard 3/576 loss=0.885483  best=-inf wall=0.011h
  ep1 shard 4/576 loss=0.867203  best=-inf wall=0.015h
  ep1 shard 5/576 loss=0.812779  best=-inf wall=0.019h
  ep1 shard 6/576 loss=0.853293  best=-inf wall=0.023h
  ep1 shard 7/576 loss=0.881806  best=-inf wall=0.026h
  ep1 shard 8/576 loss=0.867978  best=-inf wall=0.03h
  ep1 shard 9/576 loss=0.860635  best=-inf wall=0.034h
  ep1 shard 10/576 loss=0.851598  best=-inf wall=0.038h
  ep1 shard 11/576 loss=0.893887  best=-inf wall=0.043h
  ep1 shard 12/576 loss=0.868038  best=-inf wall=0.046h
  ep1 shard 13/576 loss=0.866826  best=-inf wall=0.051h
  ep1 shard 14/576 loss=0.838312  best=-inf wall=0.056h
  ep1 shard 15/576 loss=0.862196  best=-inf wall=0.061h
  ep1 shard 16/576 loss=0.804126  best=-inf wall=0.066h
  ep1 shard 17/576 loss=0.848848  best=-inf wall=0.07h
  ep1 shard 18/576 loss=0.848587  best=-inf wall=0.075h
  ep1 shard 19/576 loss=0.845011  best=-inf wall=0.08h
  ep1 shard 20/576 loss=0.825806  best=-inf wall=0.085h
  ep1 shard 21/576 loss=0.832882  best=-inf wall=0.09h
  ep1 shard 22/576 loss=0.818187  best=-inf wall=0.094h
  ep1 shard 23/576 loss=0.852176  best=-inf wall=0.099h
  ep1 shard 24/576 loss=0.858353  best=-inf wall=0.104h
  ep1 shard 25/576 loss=0.82235  best=-inf wall=0.109h
  ep1 shard 26/576 loss=0.829944  best=-inf wall=0.114h
  ep1 shard 27/576 loss=0.842753  best=-inf wall=0.118h
  ep1 shard 28/576 loss=0.853208  best=-inf wall=0.123h
