[arch] mlp hidden [512, 512, 256, 256], 1.018M parameters
exp011 outcomes6 [cpu]: 86 shards x 8 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 93/688 loss=0.831827  best=-inf wall=0.459h
  ep2 shard 94/688 loss=0.848619  best=-inf wall=0.462h
  ep2 shard 95/688 loss=0.838351  best=-inf wall=0.468h
  ep2 shard 96/688 loss=0.867944  best=-inf wall=0.472h
  ep2 shard 97/688 loss=0.857329  best=-inf wall=0.478h
  ep2 shard 98/688 loss=0.861188  best=-inf wall=0.483h
  ep2 shard 99/688 loss=0.83306  best=-inf wall=0.489h
  ep2 shard 100/688 loss=0.877884  best=-inf wall=0.492h
  ep2 shard 101/688 loss=0.86627  best=-inf wall=0.496h
  ep2 shard 102/688 loss=0.891009  best=-inf wall=0.501h
  ep2 shard 103/688 loss=0.883337  best=-inf wall=0.507h
  ep2 shard 104/688 loss=0.8591  best=-inf wall=0.512h
  ep2 shard 105/688 loss=0.886482  best=-inf wall=0.517h
  ep2 shard 106/688 loss=0.870526  best=-inf wall=0.522h
  ep2 shard 107/688 loss=0.84954  best=-inf wall=0.527h
  ep2 shard 108/688 loss=0.844797  best=-inf wall=0.53h
  ep2 shard 109/688 loss=0.852959  best=-inf wall=0.535h
  ep2 shard 110/688 loss=0.839306  best=-inf wall=0.54h
  ep2 shard 111/688 loss=0.854494  best=-inf wall=0.545h
  ep2 shard 112/688 loss=0.843216  best=-inf wall=0.55h
  ep2 shard 113/688 loss=0.922692  best=-inf wall=0.555h
  ep2 shard 114/688 loss=0.841456  best=-inf wall=0.56h
  ep2 shard 115/688 loss=0.889649  best=-inf wall=0.564h
  ep2 shard 116/688 loss=0.863586  best=-inf wall=0.568h
  ep2 shard 117/688 loss=0.844498  best=-inf wall=0.573h
  ep2 shard 118/688 loss=0.87938  best=-inf wall=0.578h
  ep2 shard 119/688 loss=0.840784  best=-inf wall=0.583h
  ep2 shard 120/688 loss=0.807553  best=-inf wall=0.587h
  ep2 shard 121/688 loss=0.853868  best=-inf wall=0.593h
  ep2 shard 122/688 loss=0.823677  best=-inf wall=0.598h
  ep2 shard 123/688 loss=0.86496  best=-inf wall=0.603h
  ep2 shard 124/688 loss=0.895318  best=-inf wall=0.605h
  ep2 shard 125/688 loss=0.882511  best=-inf wall=0.608h
  ep2 shard 126/688 loss=0.92057  best=-inf wall=0.613h
  ep2 shard 127/688 loss=0.821594  best=-inf wall=0.618h
  ep2 shard 128/688 loss=0.858402  best=-inf wall=0.624h
  ep2 shard 129/688 loss=0.853643  best=-inf wall=0.629h
  ep2 shard 130/688 loss=0.841813  best=-inf wall=0.634h
  ep2 shard 131/688 loss=0.805681  best=-inf wall=0.639h
  ep2 shard 132/688 loss=0.82815  best=-inf wall=0.644h
  ep2 shard 133/688 loss=0.868827  best=-inf wall=0.65h
  ep2 shard 134/688 loss=0.839888  best=-inf wall=0.655h
  ep2 shard 135/688 loss=0.863513  best=-inf wall=0.66h
  ep2 shard 136/688 loss=0.827209  best=-inf wall=0.665h
  ep2 shard 137/688 loss=0.82577  best=-inf wall=0.668h
  ep2 shard 138/688 loss=0.875263  best=-inf wall=0.673h
  ep2 shard 139/688 loss=0.852681  best=-inf wall=0.677h
  ep2 shard 140/688 loss=0.868863  best=-inf wall=0.682h
  ep2 shard 141/688 loss=0.803629  best=-inf wall=0.686h
  ep2 shard 142/688 loss=0.81291  best=-inf wall=0.692h
  ep2 shard 143/688 loss=0.852359  best=-inf wall=0.695h
  ep2 shard 144/688 loss=0.859641  best=-inf wall=0.7h
  ep2 shard 145/688 loss=0.862388  best=-inf wall=0.705h
  ep2 shard 146/688 loss=0.856556  best=-inf wall=0.708h
  ep2 shard 147/688 loss=0.849998  best=-inf wall=0.714h
  ep2 shard 148/688 loss=0.896081  best=-inf wall=0.719h
  ep2 shard 149/688 loss=0.879902  best=-inf wall=0.724h
  ep2 shard 150/688 loss=0.868575  best=-inf wall=0.729h
  ep2 shard 151/688 loss=0.810622  best=-inf wall=0.734h
  ep2 shard 152/688 loss=0.842151  best=-inf wall=0.739h
  ep2 shard 153/688 loss=0.876488  best=-inf wall=0.744h
  ep2 shard 154/688 loss=0.876358  best=-inf wall=0.75h
  ep2 shard 155/688 loss=0.877317  best=-inf wall=0.753h
  ep2 shard 156/688 loss=0.860432  best=-inf wall=0.758h
  ep2 shard 157/688 loss=0.865461  best=-inf wall=0.763h
  ep2 shard 158/688 loss=0.8238  best=-inf wall=0.768h
  ep2 shard 159/688 loss=0.853107  best=-inf wall=0.774h
  ep2 shard 160/688 loss=0.856552  best=-inf wall=0.779h
  ep2 shard 161/688 loss=0.853901  best=-inf wall=0.784h
  ep2 shard 162/688 loss=0.87533  best=-inf wall=0.789h
  ep2 shard 163/688 loss=0.877058  best=-inf wall=0.792h
  ep2 shard 164/688 loss=0.842031  best=-inf wall=0.797h
  ep2 shard 165/688 loss=0.87167  best=-inf wall=0.803h
  ep2 shard 166/688 loss=0.83994  best=-inf wall=0.808h
  ep2 shard 167/688 loss=0.896247  best=-inf wall=0.813h
  ep2 shard 168/688 loss=0.842575  best=-inf wall=0.818h
  ep2 shard 169/688 loss=0.802086  best=-inf wall=0.823h
  ep2 shard 170/688 loss=0.885106  best=-inf wall=0.827h
  ep2 shard 171/688 loss=0.801434  best=-inf wall=0.832h
  ep2 shard 172/688 loss=0.860423  best=-inf wall=0.837h
  saved epoch checkpoint -> experiments/exp028-mlp/baseonly_alldata/checkpoints/ep2.pt
  ep3 shard 173/688 loss=0.875179  best=-inf wall=0.842h
  ep3 shard 174/688 loss=0.888641  best=-inf wall=0.846h
  ep3 shard 175/688 loss=0.823816  best=-inf wall=0.851h
  ep3 shard 176/688 loss=0.848608  best=-inf wall=0.856h
  ep3 shard 177/688 loss=0.893457  best=-inf wall=0.861h
  ep3 shard 178/688 loss=0.885418  best=-inf wall=0.863h
  ep3 shard 179/688 loss=0.890461  best=-inf wall=0.868h
  ep3 shard 180/688 loss=0.842451  best=-inf wall=0.874h
  ep3 shard 181/688 loss=0.84848  best=-inf wall=0.879h
  ep3 shard 182/688 loss=0.848061  best=-inf wall=0.884h
  ep3 shard 183/688 loss=0.824263  best=-inf wall=0.889h
  ep3 shard 184/688 loss=0.779886  best=-inf wall=0.893h
  ep3 shard 185/688 loss=0.872576  best=-inf wall=0.898h
  ep3 shard 186/688 loss=0.874467  best=-inf wall=0.904h
  ep3 shard 187/688 loss=0.860063  best=-inf wall=0.909h
  ep3 shard 188/688 loss=0.847371  best=-inf wall=0.912h
  ep3 shard 189/688 loss=0.864565  best=-inf wall=0.914h
  ep3 shard 190/688 loss=0.754376  best=-inf wall=0.919h
  ep3 shard 191/688 loss=0.84834  best=-inf wall=0.922h
  ep3 shard 192/688 loss=0.812627  best=-inf wall=0.927h
  ep3 shard 193/688 loss=0.855813  best=-inf wall=0.932h
  ep3 shard 194/688 loss=0.841968  best=-inf wall=0.935h
  ep3 shard 195/688 loss=0.858905  best=-inf wall=0.94h
  ep3 shard 196/688 loss=0.835527  best=-inf wall=0.946h
  ep3 shard 197/688 loss=0.882401  best=-inf wall=0.951h
  ep3 shard 198/688 loss=0.783416  best=-inf wall=0.956h
  ep3 shard 199/688 loss=0.835158  best=-inf wall=0.961h
  ep3 shard 200/688 loss=0.860418  best=-inf wall=0.965h
  ep3 shard 201/688 loss=0.857899  best=-inf wall=0.969h
  ep3 shard 202/688 loss=0.828918  best=-inf wall=0.975h
  ep3 shard 203/688 loss=0.858592  best=-inf wall=0.98h
  ep3 shard 204/688 loss=0.823425  best=-inf wall=0.985h
  ep3 shard 205/688 loss=0.854158  best=-inf wall=0.99h
  ep3 shard 206/688 loss=0.874482  best=-inf wall=0.994h
  ep3 shard 207/688 loss=0.845144  best=-inf wall=0.998h
  ep3 shard 208/688 loss=0.881046  best=-inf wall=1.003h
  ep3 shard 209/688 loss=0.868037  best=-inf wall=1.008h
  ep3 shard 210/688 loss=0.903824  best=-inf wall=1.013h
  ep3 shard 211/688 loss=0.839398  best=-inf wall=1.018h
  ep3 shard 212/688 loss=0.876985  best=-inf wall=1.024h
  ep3 shard 213/688 loss=0.873743  best=-inf wall=1.029h
  ep3 shard 214/688 loss=0.864753  best=-inf wall=1.034h
  ep3 shard 215/688 loss=0.870013  best=-inf wall=1.038h
