[arch] mlp hidden [512, 512, 256, 256], 1.018M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 93/576 loss=0.869873  best=-inf wall=0.463h
  ep2 shard 94/576 loss=0.868053  best=-inf wall=0.469h
  ep2 shard 95/576 loss=0.872344  best=-inf wall=0.474h
  ep2 shard 96/576 loss=0.815287  best=-inf wall=0.479h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_512_512_256_256_baseonly/checkpoints/ep2.pt
  ep3 shard 97/576 loss=0.845294  best=-inf wall=0.484h
  ep3 shard 98/576 loss=0.86454  best=-inf wall=0.49h
  ep3 shard 99/576 loss=0.831754  best=-inf wall=0.495h
  ep3 shard 100/576 loss=0.87544  best=-inf wall=0.499h
  ep3 shard 101/576 loss=0.858724  best=-inf wall=0.504h
  ep3 shard 102/576 loss=0.891597  best=-inf wall=0.509h
  ep3 shard 103/576 loss=0.815346  best=-inf wall=0.514h
  ep3 shard 104/576 loss=0.882687  best=-inf wall=0.518h
  ep3 shard 105/576 loss=0.849876  best=-inf wall=0.523h
  ep3 shard 106/576 loss=0.914725  best=-inf wall=0.528h
  ep3 shard 107/576 loss=0.855547  best=-inf wall=0.533h
  ep3 shard 108/576 loss=0.852642  best=-inf wall=0.538h
  ep3 shard 109/576 loss=0.848424  best=-inf wall=0.542h
  ep3 shard 110/576 loss=0.846539  best=-inf wall=0.548h
  ep3 shard 111/576 loss=0.853666  best=-inf wall=0.553h
  ep3 shard 112/576 loss=0.853356  best=-inf wall=0.559h
  ep3 shard 113/576 loss=0.879551  best=-inf wall=0.564h
  ep3 shard 114/576 loss=0.876004  best=-inf wall=0.569h
  ep3 shard 115/576 loss=0.910767  best=-inf wall=0.574h
  ep3 shard 116/576 loss=0.866924  best=-inf wall=0.578h
  ep3 shard 117/576 loss=0.848957  best=-inf wall=0.583h
  ep3 shard 118/576 loss=0.846461  best=-inf wall=0.589h
  ep3 shard 119/576 loss=0.872583  best=-inf wall=0.594h
  ep3 shard 120/576 loss=0.865628  best=-inf wall=0.599h
  ep3 shard 121/576 loss=0.851983  best=-inf wall=0.603h
  ep3 shard 122/576 loss=0.900867  best=-inf wall=0.608h
  ep3 shard 123/576 loss=0.842367  best=-inf wall=0.614h
  ep3 shard 124/576 loss=0.863721  best=-inf wall=0.619h
  ep3 shard 125/576 loss=0.818283  best=-inf wall=0.625h
  ep3 shard 126/576 loss=0.876912  best=-inf wall=0.629h
