[arch] mlp hidden [512, 512, 256, 256] in=201, 0.911M params (0.563M deployable)
exp011 scalar [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 90/1720 loss=0.000123  best=-inf wall=0.401h
  ep2 shard 91/1720 loss=9.1e-05  best=-inf wall=0.406h
  ep2 shard 92/1720 loss=8.6e-05  best=-inf wall=0.411h
  ep2 shard 93/1720 loss=0.000103  best=-inf wall=0.413h
  ep2 shard 94/1720 loss=0.000115  best=-inf wall=0.416h
  ep2 shard 95/1720 loss=9.4e-05  best=-inf wall=0.421h
  ep2 shard 96/1720 loss=0.000109  best=-inf wall=0.426h
  ep2 shard 97/1720 loss=9.3e-05  best=-inf wall=0.431h
  ep2 shard 98/1720 loss=8.9e-05  best=-inf wall=0.436h
  ep2 shard 99/1720 loss=9.2e-05  best=-inf wall=0.441h
  ep2 shard 100/1720 loss=9.4e-05  best=-inf wall=0.444h
  ep2 shard 101/1720 loss=8.8e-05  best=-inf wall=0.448h
  ep2 shard 102/1720 loss=0.000105  best=-inf wall=0.453h
  ep2 shard 103/1720 loss=8.9e-05  best=-inf wall=0.458h
  ep2 shard 104/1720 loss=0.000118  best=-inf wall=0.463h
  ep2 shard 105/1720 loss=8.9e-05  best=-inf wall=0.468h
  ep2 shard 106/1720 loss=0.000101  best=-inf wall=0.473h
  ep2 shard 107/1720 loss=8.4e-05  best=-inf wall=0.478h
  ep2 shard 108/1720 loss=9.7e-05  best=-inf wall=0.481h
  ep2 shard 109/1720 loss=0.000104  best=-inf wall=0.486h
  ep2 shard 110/1720 loss=0.000101  best=-inf wall=0.491h
  ep2 shard 111/1720 loss=0.000122  best=-inf wall=0.496h
  ep2 shard 112/1720 loss=9.9e-05  best=-inf wall=0.501h
  ep2 shard 113/1720 loss=8.6e-05  best=-inf wall=0.506h
  ep2 shard 114/1720 loss=0.000107  best=-inf wall=0.511h
  ep2 shard 115/1720 loss=9e-05  best=-inf wall=0.516h
  ep2 shard 116/1720 loss=9.5e-05  best=-inf wall=0.521h
  ep2 shard 117/1720 loss=0.000104  best=-inf wall=0.526h
  ep2 shard 118/1720 loss=0.000114  best=-inf wall=0.53h
  ep2 shard 119/1720 loss=0.000111  best=-inf wall=0.534h
  ep2 shard 120/1720 loss=9.4e-05  best=-inf wall=0.54h
  ep2 shard 121/1720 loss=8.5e-05  best=-inf wall=0.544h
  ep2 shard 122/1720 loss=9.6e-05  best=-inf wall=0.548h
  ep2 shard 123/1720 loss=7.9e-05  best=-inf wall=0.553h
  ep2 shard 124/1720 loss=7.2e-05  best=-inf wall=0.554h
  ep2 shard 125/1720 loss=7.8e-05  best=-inf wall=0.557h
  ep2 shard 126/1720 loss=9.9e-05  best=-inf wall=0.562h
  ep2 shard 127/1720 loss=8.9e-05  best=-inf wall=0.567h
  ep2 shard 128/1720 loss=7.6e-05  best=-inf wall=0.572h
  ep2 shard 129/1720 loss=6.8e-05  best=-inf wall=0.576h
