[arch] mlp 1x256 hidden, 0.509M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 94/576 loss=0.812116  best=-inf wall=0.255h
  ep2 shard 95/576 loss=0.809598  best=-inf wall=0.258h
  ep2 shard 96/576 loss=0.874149  best=-inf wall=0.261h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_h256_long/checkpoints/ep2.pt
  ep3 shard 97/576 loss=0.855688  best=-inf wall=0.264h
  ep3 shard 98/576 loss=0.913986  best=-inf wall=0.267h
  ep3 shard 99/576 loss=0.874172  best=-inf wall=0.27h
  ep3 shard 100/576 loss=0.864779  best=-inf wall=0.271h
  ep3 shard 101/576 loss=0.894629  best=-inf wall=0.273h
  ep3 shard 102/576 loss=0.90698  best=-inf wall=0.276h
  ep3 shard 103/576 loss=0.87568  best=-inf wall=0.279h
  ep3 shard 104/576 loss=0.857064  best=-inf wall=0.281h
  ep3 shard 105/576 loss=0.857703  best=-inf wall=0.283h
  ep3 shard 106/576 loss=0.783243  best=-inf wall=0.285h
  ep3 shard 107/576 loss=0.847552  best=-inf wall=0.288h
  ep3 shard 108/576 loss=0.867758  best=-inf wall=0.291h
  ep3 shard 109/576 loss=0.854524  best=-inf wall=0.292h
  ep3 shard 110/576 loss=0.846568  best=-inf wall=0.296h
  ep3 shard 111/576 loss=0.874381  best=-inf wall=0.299h
  ep3 shard 112/576 loss=0.80631  best=-inf wall=0.301h
  ep3 shard 113/576 loss=0.886996  best=-inf wall=0.304h
  ep3 shard 114/576 loss=0.845889  best=-inf wall=0.307h
  ep3 shard 115/576 loss=0.80772  best=-inf wall=0.31h
  ep3 shard 116/576 loss=0.820443  best=-inf wall=0.313h
  ep3 shard 117/576 loss=0.864913  best=-inf wall=0.315h
  ep3 shard 118/576 loss=0.824044  best=-inf wall=0.318h
  ep3 shard 119/576 loss=0.825376  best=-inf wall=0.321h
  ep3 shard 120/576 loss=0.841157  best=-inf wall=0.324h
  ep3 shard 121/576 loss=0.869409  best=-inf wall=0.327h
  ep3 shard 122/576 loss=0.831384  best=-inf wall=0.33h
  ep3 shard 123/576 loss=0.844227  best=-inf wall=0.333h
  ep3 shard 124/576 loss=0.893972  best=-inf wall=0.335h
  ep3 shard 125/576 loss=0.859784  best=-inf wall=0.338h
  ep3 shard 126/576 loss=0.868039  best=-inf wall=0.34h
  ep3 shard 127/576 loss=0.895361  best=-inf wall=0.343h
  ep3 shard 128/576 loss=0.843662  best=-inf wall=0.346h
  ep3 shard 129/576 loss=0.865303  best=-inf wall=0.348h
  ep3 shard 130/576 loss=0.830901  best=-inf wall=0.35h
  ep3 shard 131/576 loss=0.854323  best=-inf wall=0.352h
  ep3 shard 132/576 loss=0.890771  best=-inf wall=0.355h
  ep3 shard 133/576 loss=0.839854  best=-inf wall=0.358h
  ep3 shard 134/576 loss=0.850522  best=-inf wall=0.361h
  ep3 shard 135/576 loss=0.828863  best=-inf wall=0.364h
  ep3 shard 136/576 loss=0.837007  best=-inf wall=0.365h
  ep3 shard 137/576 loss=0.854846  best=-inf wall=0.368h
  ep3 shard 138/576 loss=0.871833  best=-inf wall=0.371h
  ep3 shard 139/576 loss=0.898343  best=-inf wall=0.374h
  ep3 shard 140/576 loss=0.905804  best=-inf wall=0.377h
  ep3 shard 141/576 loss=0.846136  best=-inf wall=0.379h
  ep3 shard 142/576 loss=0.848439  best=-inf wall=0.381h
  ep3 shard 143/576 loss=0.853347  best=-inf wall=0.384h
  ep3 shard 144/576 loss=0.774306  best=-inf wall=0.387h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_h256_long/checkpoints/ep3.pt
  ep4 shard 145/576 loss=0.836398  best=-inf wall=0.39h
  ep4 shard 146/576 loss=0.871628  best=-inf wall=0.392h
  ep4 shard 147/576 loss=0.839183  best=-inf wall=0.395h
  ep4 shard 148/576 loss=0.86146  best=-inf wall=0.398h
  ep4 shard 149/576 loss=0.824895  best=-inf wall=0.401h
  ep4 shard 150/576 loss=0.87123  best=-inf wall=0.404h
  ep4 shard 151/576 loss=0.814542  best=-inf wall=0.407h
  ep4 shard 152/576 loss=0.883258  best=-inf wall=0.409h
  ep4 shard 153/576 loss=0.86486  best=-inf wall=0.412h
  ep4 shard 154/576 loss=0.886456  best=-inf wall=0.415h
  ep4 shard 155/576 loss=0.872997  best=-inf wall=0.416h
  ep4 shard 156/576 loss=0.915679  best=-inf wall=0.419h
  ep4 shard 157/576 loss=0.865803  best=-inf wall=0.421h
  ep4 shard 158/576 loss=0.894168  best=-inf wall=0.423h
  ep4 shard 159/576 loss=0.873288  best=-inf wall=0.425h
  ep4 shard 160/576 loss=0.90115  best=-inf wall=0.428h
  ep4 shard 161/576 loss=0.878109  best=-inf wall=0.431h
  ep4 shard 162/576 loss=0.851511  best=-inf wall=0.433h
  ep4 shard 163/576 loss=0.864197  best=-inf wall=0.436h
  ep4 shard 164/576 loss=0.870169  best=-inf wall=0.439h
  ep4 shard 165/576 loss=0.898702  best=-inf wall=0.441h
  ep4 shard 166/576 loss=0.867768  best=-inf wall=0.444h
  ep4 shard 167/576 loss=0.885365  best=-inf wall=0.446h
  ep4 shard 168/576 loss=0.876173  best=-inf wall=0.449h
  ep4 shard 169/576 loss=0.874155  best=-inf wall=0.452h
  ep4 shard 170/576 loss=0.870584  best=-inf wall=0.455h
  ep4 shard 171/576 loss=0.800476  best=-inf wall=0.458h
  ep4 shard 172/576 loss=0.850748  best=-inf wall=0.461h
  ep4 shard 173/576 loss=0.822408  best=-inf wall=0.463h
