[arch] mlp hidden [512, 512, 256, 256] in=201, 0.911M params (0.563M deployable)
exp011 scalar [cpu]: 86 shards x 100 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
[resume] experiments/exp029-longrun/combined100/checkpoints/latest.pt absent — starting fresh
  ep2 shard 89/8600 loss=9.3e-05  best=-inf wall=0.434h
  ep2 shard 90/8600 loss=0.000107  best=-inf wall=0.436h
  ep2 shard 91/8600 loss=9.5e-05  best=-inf wall=0.442h
  ep2 shard 92/8600 loss=0.000157  best=-inf wall=0.447h
  ep2 shard 93/8600 loss=9.9e-05  best=-inf wall=0.448h
  ep2 shard 94/8600 loss=0.00013  best=-inf wall=0.452h
  ep2 shard 95/8600 loss=0.00011  best=-inf wall=0.457h
  ep2 shard 96/8600 loss=9.9e-05  best=-inf wall=0.462h
  ep2 shard 97/8600 loss=7.1e-05  best=-inf wall=0.468h
  ep2 shard 98/8600 loss=0.000102  best=-inf wall=0.472h
  ep2 shard 99/8600 loss=0.0001  best=-inf wall=0.477h
  ep2 shard 100/8600 loss=0.0001  best=-inf wall=0.48h
  ep2 shard 101/8600 loss=0.000117  best=-inf wall=0.485h
  ep2 shard 102/8600 loss=0.0001  best=-inf wall=0.491h
  ep2 shard 103/8600 loss=0.000144  best=-inf wall=0.496h
  ep2 shard 104/8600 loss=7.4e-05  best=-inf wall=0.501h
  ep2 shard 105/8600 loss=9.4e-05  best=-inf wall=0.506h
  ep2 shard 106/8600 loss=9.1e-05  best=-inf wall=0.511h
  ep2 shard 107/8600 loss=0.00011  best=-inf wall=0.516h
  ep2 shard 108/8600 loss=0.000108  best=-inf wall=0.519h
  ep2 shard 109/8600 loss=0.000106  best=-inf wall=0.524h
  ep2 shard 110/8600 loss=8.3e-05  best=-inf wall=0.53h
  ep2 shard 111/8600 loss=9.6e-05  best=-inf wall=0.535h
  ep2 shard 112/8600 loss=0.000117  best=-inf wall=0.54h
  ep2 shard 113/8600 loss=9.2e-05  best=-inf wall=0.546h
  ep2 shard 114/8600 loss=8.5e-05  best=-inf wall=0.551h
  ep2 shard 115/8600 loss=7.4e-05  best=-inf wall=0.556h
  ep2 shard 116/8600 loss=0.000125  best=-inf wall=0.562h
  ep2 shard 117/8600 loss=0.000118  best=-inf wall=0.567h
  ep2 shard 118/8600 loss=9.8e-05  best=-inf wall=0.572h
  ep2 shard 119/8600 loss=9.9e-05  best=-inf wall=0.577h
  ep2 shard 120/8600 loss=9.2e-05  best=-inf wall=0.583h
  ep2 shard 121/8600 loss=8.1e-05  best=-inf wall=0.588h
  ep2 shard 122/8600 loss=8.5e-05  best=-inf wall=0.593h
  ep2 shard 123/8600 loss=8.6e-05  best=-inf wall=0.598h
  ep2 shard 124/8600 loss=0.000104  best=-inf wall=0.6h
  ep2 shard 125/8600 loss=8e-05  best=-inf wall=0.603h
  ep2 shard 126/8600 loss=7.7e-05  best=-inf wall=0.608h
  ep2 shard 127/8600 loss=8.9e-05  best=-inf wall=0.613h
  ep2 shard 128/8600 loss=0.000104  best=-inf wall=0.619h
  ep2 shard 129/8600 loss=7.5e-05  best=-inf wall=0.624h
  ep2 shard 130/8600 loss=0.000144  best=-inf wall=0.629h
  ep2 shard 131/8600 loss=8.4e-05  best=-inf wall=0.634h
  ep2 shard 132/8600 loss=0.00012  best=-inf wall=0.639h
  ep2 shard 133/8600 loss=9.4e-05  best=-inf wall=0.645h
  ep2 shard 134/8600 loss=9.7e-05  best=-inf wall=0.65h
  ep2 shard 135/8600 loss=0.000148  best=-inf wall=0.655h
  ep2 shard 136/8600 loss=7.8e-05  best=-inf wall=0.66h
  ep2 shard 137/8600 loss=8.6e-05  best=-inf wall=0.664h
  ep2 shard 138/8600 loss=8e-05  best=-inf wall=0.669h
  ep2 shard 139/8600 loss=0.000106  best=-inf wall=0.674h
  ep2 shard 140/8600 loss=9.4e-05  best=-inf wall=0.679h
  ep2 shard 141/8600 loss=7.2e-05  best=-inf wall=0.684h
  ep2 shard 142/8600 loss=8.2e-05  best=-inf wall=0.69h
  ep2 shard 143/8600 loss=8.2e-05  best=-inf wall=0.692h
  ep2 shard 144/8600 loss=6.9e-05  best=-inf wall=0.698h
  ep2 shard 145/8600 loss=6.8e-05  best=-inf wall=0.703h
  ep2 shard 146/8600 loss=9e-05  best=-inf wall=0.706h
  ep2 shard 147/8600 loss=7.9e-05  best=-inf wall=0.712h
  ep2 shard 148/8600 loss=7.1e-05  best=-inf wall=0.717h
  ep2 shard 149/8600 loss=8.2e-05  best=-inf wall=0.722h
  ep2 shard 150/8600 loss=0.000104  best=-inf wall=0.727h
  ep2 shard 151/8600 loss=7.4e-05  best=-inf wall=0.732h
  ep2 shard 152/8600 loss=7.7e-05  best=-inf wall=0.737h
  ep2 shard 153/8600 loss=6.2e-05  best=-inf wall=0.742h
  ep2 shard 154/8600 loss=0.000124  best=-inf wall=0.748h
  ep2 shard 155/8600 loss=7.9e-05  best=-inf wall=0.751h
  ep2 shard 156/8600 loss=8.3e-05  best=-inf wall=0.756h
  ep2 shard 157/8600 loss=7.6e-05  best=-inf wall=0.761h
