[arch] mlp hidden [1024, 1024, 512, 512] in=201, 2.738M params (2.044M deployable)
exp011 scalar [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
[resume] experiments/exp030-capacity/width2x/checkpoints/latest.pt absent — starting fresh
  ep2 shard 89/1720 loss=7.3e-05  best=-inf wall=0.986h
  ep2 shard 90/1720 loss=0.000145  best=-inf wall=0.99h
  ep2 shard 91/1720 loss=7.4e-05  best=-inf wall=1.002h
  ep2 shard 92/1720 loss=0.000116  best=-inf wall=1.014h
  ep2 shard 93/1720 loss=8.1e-05  best=-inf wall=1.018h
  ep2 shard 94/1720 loss=7.7e-05  best=-inf wall=1.025h
  ep2 shard 95/1720 loss=9.5e-05  best=-inf wall=1.036h
  ep2 shard 96/1720 loss=0.000102  best=-inf wall=1.047h
  ep2 shard 97/1720 loss=8.7e-05  best=-inf wall=1.06h
  ep2 shard 98/1720 loss=8.7e-05  best=-inf wall=1.07h
  ep2 shard 99/1720 loss=0.00011  best=-inf wall=1.082h
  ep2 shard 100/1720 loss=9.5e-05  best=-inf wall=1.089h
  ep2 shard 101/1720 loss=8.4e-05  best=-inf wall=1.101h
  ep2 shard 102/1720 loss=7.9e-05  best=-inf wall=1.113h
  ep2 shard 103/1720 loss=0.000143  best=-inf wall=1.125h
  ep2 shard 104/1720 loss=0.00014  best=-inf wall=1.136h
  ep2 shard 105/1720 loss=9.7e-05  best=-inf wall=1.148h
  ep2 shard 106/1720 loss=9e-05  best=-inf wall=1.16h
  ep2 shard 107/1720 loss=7.3e-05  best=-inf wall=1.171h
  ep2 shard 108/1720 loss=9.4e-05  best=-inf wall=1.178h
  ep2 shard 109/1720 loss=7.9e-05  best=-inf wall=1.19h
  ep2 shard 110/1720 loss=8.1e-05  best=-inf wall=1.202h
  ep2 shard 111/1720 loss=9.9e-05  best=-inf wall=1.214h
  ep2 shard 112/1720 loss=6.9e-05  best=-inf wall=1.226h
  ep2 shard 113/1720 loss=8.2e-05  best=-inf wall=1.237h
  ep2 shard 114/1720 loss=8.6e-05  best=-inf wall=1.249h
  ep2 shard 115/1720 loss=9.8e-05  best=-inf wall=1.261h
  ep2 shard 116/1720 loss=9.6e-05  best=-inf wall=1.273h
  ep2 shard 117/1720 loss=0.000119  best=-inf wall=1.284h
  ep2 shard 118/1720 loss=0.000119  best=-inf wall=1.296h
  ep2 shard 119/1720 loss=8.8e-05  best=-inf wall=1.308h
  ep2 shard 120/1720 loss=8.6e-05  best=-inf wall=1.32h
  ep2 shard 121/1720 loss=9.1e-05  best=-inf wall=1.331h
  ep2 shard 122/1720 loss=7.3e-05  best=-inf wall=1.343h
  ep2 shard 123/1720 loss=9e-05  best=-inf wall=1.355h
  ep2 shard 124/1720 loss=7.8e-05  best=-inf wall=1.359h
  ep2 shard 125/1720 loss=7e-05  best=-inf wall=1.366h
  ep2 shard 126/1720 loss=9.9e-05  best=-inf wall=1.378h
  ep2 shard 127/1720 loss=7.3e-05  best=-inf wall=1.389h
  ep2 shard 128/1720 loss=0.000109  best=-inf wall=1.401h
  ep2 shard 129/1720 loss=7.8e-05  best=-inf wall=1.412h
  ep2 shard 130/1720 loss=8.4e-05  best=-inf wall=1.424h
  ep2 shard 131/1720 loss=7.5e-05  best=-inf wall=1.436h
  ep2 shard 132/1720 loss=7e-05  best=-inf wall=1.447h
  ep2 shard 133/1720 loss=8.3e-05  best=-inf wall=1.459h
  ep2 shard 134/1720 loss=0.000123  best=-inf wall=1.471h
  ep2 shard 135/1720 loss=8e-05  best=-inf wall=1.483h
  ep2 shard 136/1720 loss=9.6e-05  best=-inf wall=1.494h
  ep2 shard 137/1720 loss=7.2e-05  best=-inf wall=1.501h
  ep2 shard 138/1720 loss=5.7e-05  best=-inf wall=1.513h
  ep2 shard 139/1720 loss=9.1e-05  best=-inf wall=1.525h
  ep2 shard 140/1720 loss=8.6e-05  best=-inf wall=1.536h
  ep2 shard 141/1720 loss=7.8e-05  best=-inf wall=1.548h
  ep2 shard 142/1720 loss=7.8e-05  best=-inf wall=1.56h
  ep2 shard 143/1720 loss=6.2e-05  best=-inf wall=1.567h
  ep2 shard 144/1720 loss=9.7e-05  best=-inf wall=1.579h
  ep2 shard 145/1720 loss=8.3e-05  best=-inf wall=1.591h
  ep2 shard 146/1720 loss=6.9e-05  best=-inf wall=1.598h
  ep2 shard 147/1720 loss=6.5e-05  best=-inf wall=1.61h
  ep2 shard 148/1720 loss=0.0001  best=-inf wall=1.622h
  ep2 shard 149/1720 loss=9.6e-05  best=-inf wall=1.633h
  ep2 shard 150/1720 loss=5.2e-05  best=-inf wall=1.645h
  ep2 shard 151/1720 loss=6.9e-05  best=-inf wall=1.656h
  ep2 shard 152/1720 loss=0.000147  best=-inf wall=1.668h
  ep2 shard 153/1720 loss=6.5e-05  best=-inf wall=1.679h
